cluster,KO,Description
NVE10102,,
NVE2047,K08291,GRK4_5_6; G protein-coupled receptor kinase [EC:2.7.11.16]
NVE7968,,
NVE6450,K06580,SLC42A; ammonium transporter Rh
NVE17920,,
NVE5554,,
NVE1917,,
NVE11229,K22422,DONSON; protein downstream neighbor of Son
NVE8633,,
NVE2393,K21421,NOX2; NADPH oxidase 2 [EC:1.-.-.-]
NVE6403,K10362,MYO18; myosin XVIII
NVE9003,,
NVE10930,K00688,PYG; glycogen phosphorylase [EC:2.4.1.1]
NVE22227,K00750,GYG1; glycogenin [EC:2.4.1.186]
NVE8639,K03251,EIF3D; translation initiation factor 3 subunit D
NVE24477,,
NVE24547,,
NVE4943,K10324,ASB2; ankyrin repeat and SOCS box protein 2
NVE24613,K07478,ycaJ; putative ATPase
NVE17871,,
NVE13522,K11131,DKC1; H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]
NVE6157,K01128,SMPDL3; sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]
NVE25736,K13026,DHX57; ATP-dependent RNA helicase DHX57 [EC:3.6.4.13]
NVE5502,K18410,"ASZ1; ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1"
NVE15825,K21245,SUPT20H; transcription factor SPT20 homolog
NVE3561,K00079,CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
NVE23923,K04249,TSHR; thyroid stimulating hormone receptor
NVE12968,K13748,"MGAT4C; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]"
NVE25041,,
NVE14647,,
NVE22255,,
NVE2329,,
NVE38,K00873,PK; pyruvate kinase [EC:2.7.1.40]
NVE11859,K05012,CLCN3_4_5; chloride channel 3/4/5
NVE5059,K09448,TEAD; transcriptional enhancer factor
NVE16638,K14387,"SLC5A7; solute carrier family 5 (high affinity choline transporter), member 7"
NVE20417,,
NVE13308,,
NVE13413,K02296,ARNTL; aryl hydrocarbon receptor nuclear translocator-like protein 1
NVE23688,,
NVE10940,K08465,GPR133; G protein-coupled receptor 133
NVE10436,,
NVE20311,,
NVE8144,K17655,MRPP3; mitochondrial ribonuclease P protein 3
NVE26009,K15159,MED16; mediator of RNA polymerase II transcription subunit 16
NVE9409,,
NVE6375,,
NVE2796,,
NVE15415,K04532,NAE1; amyloid beta precursor protein binding protein 1
NVE7296,,
NVE5483,K03320,"amt; ammonium transporter, Amt family"
NVE3913,,
NVE2613,K15196,BRF1; transcription factor IIIB 90 kDa subunit
NVE19573,K14970,MEN1; menin
NVE4185,,
NVE10786,K11723,BRD7; bromodomain-containing protein 7
NVE22539,K08585,"CAPNN; calpain, invertebrate [EC:3.4.22.-]"
NVE20439,,
NVE10274,K05128,RYK; RYK receptor-like tyrosine kinase [EC:2.7.10.1]
NVE24261,,
NVE3011,K14617,LMBRD1; LMBR1 domain-containing protein 1
NVE13898,K15122,SLC41A; solute carrier family 41
NVE4324,K14355,"SLCO4C; solute carrier organic anion transporter family, member 4C"
NVE2737,,
NVE18666,,
NVE10096,,
NVE4895,K14768,UTP7; U3 small nucleolar RNA-associated protein 7
NVE9188,,
NVE23357,K05673,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
NVE21798,,
NVE14591,K20406,NPRL3; nitrogen permease regulator 3-like protein
NVE6477,K08288,PRKCSH; protein kinase C substrate 80K-H
NVE7914,K03174,TRAF3; TNF receptor-associated factor 3
NVE9880,K10772,APEX2; AP endonuclease 2 [EC:4.2.99.18]
NVE7656,,
NVE16056,,
NVE12650,K09582,PDIA4; protein disulfide-isomerase A4 [EC:5.3.4.1]
NVE7646,K00814,GPT; alanine transaminase [EC:2.6.1.2]
NVE8152,,
NVE6505,K04975,TRPV6; transient receptor potential cation channel subfamily V member 6
NVE6574,K01285,PRCP; lysosomal Pro-X carboxypeptidase [EC:3.4.16.2]
NVE6865,,
NVE16436,K14810,DDX56; ATP-dependent RNA helicase DDX56/DBP9 [EC:3.6.4.13]
NVE20626,K05940,CROT; carnitine O-octanoyltransferase [EC:2.3.1.137]
NVE22287,K10637,MYLIP; E3 ubiquitin-protein ligase MYLIP [EC:2.3.2.27]
NVE6590,,
NVE21585,,
NVE15614,K11142,LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
NVE124,,
NVE8134,K18134,EOGT; protein O-GlcNAc transferase [EC:2.4.1.255]
NVE23471,,
NVE4769,,
NVE9295,K20242,EVI5; ecotropic viral integration site 5 protein
NVE18184,K02354,FZD4; frizzled 4
NVE4378,,
NVE19231,K00693,GYS; glycogen synthase [EC:2.4.1.11]
NVE22396,K19756,RSPH4A; radial spoke head protein 4A
NVE4945,K04874,KCNA1; potassium voltage-gated channel Shaker-related subfamily A member 1
NVE25011,K00597,MTRR; methionine synthase reductase [EC:1.16.1.8]
NVE1037,,
NVE8667,K09494,CCT2; T-complex protein 1 subunit beta
NVE9898,K12737,SDCCAG10; peptidyl-prolyl cis-trans isomerase SDCCAG10 [EC:5.2.1.8]
NVE6758,,
NVE20967,K07984,SH3BP2; SH3-domain binding protein 2
NVE16646,K03992,MASP1; mannan-binding lectin serine protease 1 [EC:3.4.21.-]
NVE3360,,
NVE16069,K12655,OTUD5; OTU domain-containing protein 5 [EC:3.4.19.12]
NVE22520,,
NVE10122,K03320,"amt; ammonium transporter, Amt family"
NVE5058,,
NVE15449,,
NVE7812,K16475,LRRCC1; leucine-rich repeat and coiled-coil domain-containing protein 1
NVE2672,,
NVE1223,,
NVE5191,K10252,"BCDO2; beta,beta-carotene 9',10'-dioxygenase [EC:1.13.11.71]"
NVE11739,,
NVE6123,,
NVE2378,,
NVE7957,K01755,argH; argininosuccinate lyase [EC:4.3.2.1]
NVE8669,K09494,CCT2; T-complex protein 1 subunit beta
NVE16900,K10457,KLHL20; kelch-like protein 20
NVE14514,,
NVE2632,K16610,TTLL15; tubulin monoglycylase TTLL15
NVE21436,,
NVE93,K00088,IMPDH; IMP dehydrogenase [EC:1.1.1.205]
NVE10635,,
NVE4947,,
NVE25055,K05695,PTPRF; receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]
NVE141,K08465,GPR133; G protein-coupled receptor 133
NVE24700,K03320,"amt; ammonium transporter, Amt family"
NVE19552,,
NVE3107,K04683,TFDP1; transcription factor Dp-1
NVE16341,,
NVE16238,K09497,CCT5; T-complex protein 1 subunit epsilon
NVE17850,K11857,USP47; ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]
NVE22738,,
NVE20765,K17681,ATAD3A_B; ATPase family AAA domain-containing protein 3A/B
NVE631,K00485,FMO; dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]
NVE14841,,
NVE2229,K16752,CCDC15; coiled-coil domain-containing protein 15
NVE4612,K10646,TRAF7; E3 ubiquitin-protein ligase TRAF7 [EC:2.3.2.27]
NVE7749,K01965,PCCA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
NVE25391,,
NVE20813,,
NVE24283,K08813,STK33; serine/threonine kinase 33 [EC:2.7.11.1]
NVE25446,,
NVE22009,K01892,HARS; histidyl-tRNA synthetase [EC:6.1.1.21]
NVE1034,,
NVE543,K08892,FRK; fyn-related kinase [EC:2.7.10.2]
NVE14348,,
NVE8190,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-]
NVE6453,,
NVE6076,,
NVE5623,,
NVE9839,K00671,NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
NVE16122,,
NVE3656,K09527,DNAJC7; DnaJ homolog subfamily C member 7
NVE7692,,
NVE26107,K16892,CATSPER4; cation channel sperm-associated protein 4
NVE10341,,
NVE17254,K01669,phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
NVE13088,K08342,ATG4; cysteine protease ATG4 [EC:3.4.22.-]
NVE19117,,
NVE10277,K19953,GRTP1; TBC1 domain family member 6
NVE2736,,
NVE2502,,
NVE20120,K02147,ATPeV1B; V-type H+-transporting ATPase subunit B
NVE10846,,
NVE7038,,
NVE23323,K13868,"SLC7A9; solute carrier family 7 (L-type amino acid transporter), member 9"
NVE25229,K10887,DCLRE1C; DNA cross-link repair 1C protein [EC:3.1.-.-]
NVE1411,,
NVE22311,K16759,CCDC102A; coiled-coil domain-containing protein 102A
NVE22373,K20840,"SLC46A3; MFS transporter, PCFT/HCP family, solute carrier family 46, member 3"
NVE243,,
NVE14334,,
NVE21021,K03362,FBXW1_11; F-box and WD-40 domain protein 1/11
NVE13811,,
NVE18430,,
NVE25070,,
NVE19121,K00907,MYLK; myosin-light-chain kinase [EC:2.7.11.18]
NVE13366,K04523,UBQLN; ubiquilin
NVE25326,,
NVE18313,K00953,FLAD1; FAD synthetase [EC:2.7.7.2]
NVE13431,,
NVE1072,K05283,"PIGW; phosphatidylinositol glycan, class W [EC:2.3.-.-]"
NVE23627,,
NVE23516,,
NVE13184,,
NVE14616,K18914,FDXR; adrenodoxin-NADP+ reductase [EC:1.18.1.6]
NVE23256,,
NVE16224,K09552,SPG7; spastic paraplegia 7 [EC:3.4.24.-]
NVE2328,K13868,"SLC7A9; solute carrier family 7 (L-type amino acid transporter), member 9"
NVE10570,K03033,PSMD3; 26S proteasome regulatory subunit N3
NVE19964,K08145,"SLC2A8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8"
NVE6978,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE4641,K07767,KATNA1; katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]
NVE15610,K12302,"SLC17A6_7_8; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8"
NVE17332,K00486,KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
NVE2504,,
NVE12542,K00461,ALOX5; arachidonate 5-lipoxygenase [EC:1.13.11.34]
NVE9328,,
NVE19872,,
NVE14892,,
NVE24080,K12837,U2AF2; splicing factor U2AF 65 kDa subunit
NVE22414,K00963,UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
NVE2323,K04510,VANGL; vang-like
NVE25388,K17543,PXK; PX domain-containing protein kinase-like protein
NVE16528,K12830,SF3B3; splicing factor 3B subunit 3
NVE17107,K11799,WDR21A; WD repeat-containing protein 21A
NVE6464,K01974,RTCA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
NVE5787,,
NVE12979,K04950,CNGA3; cyclic nucleotide gated channel alpha 3
NVE20726,,
NVE24158,K03678,RRP45; exosome complex component RRP45
NVE9597,,
NVE24103,,
NVE5874,,
NVE8444,,
NVE8322,K02602,CPEB; cytoplasmic polyadenylation element-binding protein
NVE23921,K04248,LHCGR; luteinizing hormone/choriogonadotropin receptor
NVE10490,K00627,DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
NVE4040,,
NVE2817,,
NVE2913,K19882,NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]
NVE21028,,
NVE24732,K01183,E3.2.1.14; chitinase [EC:3.2.1.14]
NVE12085,K07249,ALDH1A; retinal dehydrogenase [EC:1.2.1.36]
NVE23535,K05906,PCYOX1; prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]
NVE21427,,
NVE3893,K17928,SNX16; sorting nexin-16
NVE25022,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE15218,,
NVE21187,,
NVE13725,,
NVE20939,K10478,BTBD3_6; BTB/POZ domain-containing protein 3/6
NVE14460,K05181,GABRB; gamma-aminobutyric acid receptor subunit beta
NVE7166,,
NVE16127,,
NVE3242,,
NVE5236,K21797,SAC1; phosphatidylinositol 4-phosphatase [EC:3.1.3.-]
NVE18996,,
NVE9502,,
NVE6460,,
NVE9322,K07179,RIOK2; RIO kinase 2 [EC:2.7.11.1]
NVE8031,,
NVE7462,,
NVE4708,,
NVE5072,,
NVE5441,K11971,RNF14; E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]
NVE24002,K09849,TRAF5; TNF receptor-associated factor 5
NVE6576,K09504,DNAJA3; DnaJ homolog subfamily A member 3
NVE17029,,
NVE26220,,
NVE13952,K22188,CLCC1; chloride channel CLIC-like protein 1
NVE12515,,
NVE11719,,
NVE8844,,
NVE14939,,
NVE1539,K13219,"SFPQ; splicing factor, proline- and glutamine-rich"
NVE9824,K12562,AMPH; amphiphysin
NVE16993,,
NVE19543,K15174,PAF1; RNA polymerase II-associated factor 1
NVE11597,,
NVE2214,K17675,SUPV3L1; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
NVE19916,,
NVE20346,K10485,BTBD13; BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1)
NVE17593,,
NVE9937,,
NVE14885,K07374,TUBA; tubulin alpha
NVE4666,K04849,CACNA1B; voltage-dependent calcium channel N type alpha-1B
NVE24262,,
NVE10763,K16860,PLD3_4; phospholipase D3/4 [EC:3.1.4.4]
NVE23545,K14286,AGXT2L1; ethanolamine-phosphate phospho-lyase [EC:4.2.3.2]
NVE11462,,
NVE8111,K09669,"FUT10; alpha-1,3-fucosyltransferase 10 [EC:2.4.1.-]"
NVE1307,K19328,SYT14_16; synaptotagmin-14/16
NVE1854,,
NVE6007,K04348,PPP3C; serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]
NVE18611,K02216,CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]
NVE24524,K15015,SLC32A; solute carrier family 32 (vesicular inhibitory amino acid transporter)
NVE1678,,
NVE12137,,
NVE2112,K12305,ENTPD4; ectonucleoside triphosphate diphosphohydrolase 4 [EC:3.6.1.6]
NVE5210,K06711,PH-4; hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]
NVE11353,,
NVE19510,K04378,SRF; serum response factor
NVE11256,K13117,DHX35; ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]
NVE12468,,
NVE19394,K00737,"MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"
NVE16830,K09572,FKBP6; FK506-binding protein 6 [EC:5.2.1.8]
NVE14700,K17917,SNX1_2; sorting nexin-1/2
NVE23163,K12021,TRIM45; tripartite motif-containing protein 45
NVE15822,K17495,CSMD; CUB and sushi domain-containing protein
NVE13555,K12259,SMOX; spermine oxidase [EC:1.5.3.16 1.5.3.-]
NVE2060,,
NVE21035,,
NVE25532,,
NVE25601,K11804,WDR42A; WD repeat-containing protein 42A
NVE3807,,
NVE20660,,
NVE17345,,
NVE9029,,
NVE25563,K14523,RPP38; ribonucleases P/MRP protein subunit RPP38 [EC:3.1.26.5]
NVE24793,,
NVE21379,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE11367,,
NVE12586,K12021,TRIM45; tripartite motif-containing protein 45
NVE21867,,
NVE20743,K01262,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
NVE8228,K01192,E3.2.1.25; beta-mannosidase [EC:3.2.1.25]
NVE11391,K21486,ANKRA2; ankyrin repeat family A protein 2
NVE21310,,
NVE23026,K13675,"B3GALTL; UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]"
NVE18923,K01267,DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]
NVE8112,,
NVE604,K04521,BACE1; beta-site APP-cleaving enzyme 1 (memapsin 2) [EC:3.4.23.46]
NVE22064,K11273,DDX11; chromosome transmission fidelity protein 1 [EC:3.6.4.13]
NVE9578,K08465,GPR133; G protein-coupled receptor 133
NVE8540,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE8665,K14848,RRB1; ribosome assembly protein RRB1
NVE17659,,
NVE12051,K03231,EEF1A; elongation factor 1-alpha
NVE8978,K16757,CCDC77; coiled-coil domain-containing protein 77
NVE5115,K14613,"SLC46A1; MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1"
NVE11761,K01889,FARSA; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
NVE13445,,
NVE20187,K07964,HPSE; heparanase [EC:3.2.1.166]
NVE18511,,
NVE329,K01754,E4.3.1.19; threonine dehydratase [EC:4.3.1.19]
NVE19949,K11806,WDSOF1; WD repeat and SOF domain-containing protein 1
NVE9202,K05312,"CHRNN; nicotinic acetylcholine receptor, invertebrate"
NVE16426,,
NVE11327,K00974,cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
NVE26085,,
NVE12233,,
NVE19162,K20630,CHN1_2; chimaerin
NVE10506,K18259,AMN; protein amnionless
NVE17102,,
NVE18036,,
NVE12748,K09848,TRAF4; TNF receptor-associated factor 4
NVE19388,K00844,HK; hexokinase [EC:2.7.1.1]
NVE13923,K12384,SCARB2; lysosome membrane protein 2
NVE17882,K00758,deoA; thymidine phosphorylase [EC:2.4.2.4]
NVE22519,,
NVE9617,K14859,SSF1_2; ribosome biogenesis protein SSF1/2
NVE21848,K14311,NUP188; nuclear pore complex protein Nup188
NVE14771,K01019,GAL3ST1; galactosylceramide sulfotransferase [EC:2.8.2.11]
NVE5981,K00387,SUOX; sulfite oxidase [EC:1.8.3.1]
NVE19858,,
NVE25531,K01900,LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
NVE22309,K09585,TXNDC10; thioredoxin domain-containing protein 10 [EC:5.3.4.1]
NVE4809,K12389,BTS; battenin
NVE185,K05181,GABRB; gamma-aminobutyric acid receptor subunit beta
NVE3059,K05291,"PIGS; phosphatidylinositol glycan, class S"
NVE25492,K13516,MBOAT7; lysophospholipid acyltransferase 7 [EC:2.3.1.-]
NVE12018,,
NVE5942,K09403,FOXJ2_3; forkhead box protein J2/3
NVE22385,,
NVE11317,,
NVE25128,,
NVE8831,,
NVE16160,K11314,TADA2A; transcriptional adapter 2-alpha
NVE5004,,
NVE24627,K00565,RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
NVE8138,K14966,HCFC; host cell factor
NVE5536,,
NVE21997,,
NVE9477,K01897,ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
NVE2549,,
NVE22136,,
NVE3630,,
NVE18307,,
NVE22575,K21737,ACET6; acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]
NVE22367,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE16075,,
NVE19371,,
NVE7797,K20840,"SLC46A3; MFS transporter, PCFT/HCP family, solute carrier family 46, member 3"
NVE3856,K11155,DGAT1; diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76]
NVE8013,,
NVE1805,K18403,MSL3; male-specific lethal 3
NVE3897,K00659,BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]
NVE4763,K11459,PCGF4; polycomb group RING finger protein 4
NVE16735,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE19361,K05181,GABRB; gamma-aminobutyric acid receptor subunit beta
NVE21992,K00182,"WNT2; wingless-type MMTV integration site family, member 2"
NVE14181,K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8]
NVE2682,,
NVE25557,,
NVE25536,K09435,ERG; transcriptional regulator ERG
NVE3046,,
NVE14933,K07374,TUBA; tubulin alpha
NVE2659,,
NVE9425,K07374,TUBA; tubulin alpha
NVE6181,,
NVE8340,K04615,GABBR; gamma-aminobutyric acid type B receptor
NVE102,,
NVE5349,K05728,CSK; c-src tyrosine kinase [EC:2.7.10.2]
NVE12447,,
NVE25550,K08524,RXRA; retinoid X receptor alpha
NVE22412,K21915,KCTD3; BTB/POZ domain-containing protein KCTD3
NVE19109,,
NVE3187,K06627,CCNA; cyclin-A
NVE956,,
NVE13600,K17361,ACOT9; acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]
NVE17333,,
NVE6005,K12035,TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]
NVE7712,K11793,CRBN; cereblon
NVE9535,,
NVE17644,K10843,ERCC3; DNA excision repair protein ERCC-3 [EC:3.6.4.12]
NVE13832,,
NVE15315,,
NVE13666,K02516,PRMT5; type II protein arginine methyltransferase [EC:2.1.1.320]
NVE16136,K17255,GDI1_2; Rab GDP dissociation inhibitor
NVE25565,K07375,TUBB; tubulin beta
NVE19116,,
NVE6413,K19007,AGPAT5; lysophosphatidiate acyltransferase [EC:2.3.1.51]
NVE25695,K11308,MYST1; histone acetyltransferase MYST1 [EC:2.3.1.48]
NVE5211,K06711,PH-4; hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]
NVE2185,,
NVE723,,
NVE4640,K16342,PLA2G4; cytosolic phospholipase A2 [EC:3.1.1.4]
NVE11710,,
NVE18442,,
NVE11861,,
NVE16750,K17809,POLDIP2; polymerase delta-interacting protein 2
NVE216,K18334,fucD; L-fuconate dehydratase [EC:4.2.1.68]
NVE14986,K08635,MMEL1; membrane metallo-endopeptidase-like 1
NVE1973,,
NVE19067,K05605,HIBCH; 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]
NVE23792,K12670,WBP1; oligosaccharyltransferase complex subunit beta
NVE21608,K16312,STK40; serine/threonine-protein kinase 40 [EC:2.7.11.1]
NVE2268,,
NVE1994,K00639,kbl; glycine C-acetyltransferase [EC:2.3.1.29]
NVE9215,K05193,GLRA1; glycine receptor alpha-1
NVE19884,,
NVE20246,K07424,CYP3A; cytochrome P450 family 3 subfamily A [EC:1.14.14.1]
NVE12625,,
NVE11769,,
NVE18334,,
NVE25678,,
NVE24713,,
NVE899,,
NVE17942,,
NVE10804,,
NVE6578,K10956,SEC61A; protein transport protein SEC61 subunit alpha
NVE1468,K09223,GFI1; growth factor independent 1
NVE14791,,
NVE21744,K05218,P2RX4; P2X purinoceptor 4
NVE24096,,
NVE2565,,
NVE22588,K03265,ETF1; peptide chain release factor subunit 1
NVE1080,K11404,HDAC3; histone deacetylase 3 [EC:3.5.1.98]
NVE25599,K00474,TMLHE; trimethyllysine dioxygenase [EC:1.14.11.8]
NVE12246,K01867,WARS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
NVE13827,K12389,BTS; battenin
NVE25266,K12389,BTS; battenin
NVE5965,K08606,MEP1B; meprin B [EC:3.4.24.63]
NVE22505,,
NVE666,,
NVE5501,K00933,E2.7.3.2; creatine kinase [EC:2.7.3.2]
NVE7545,K00451,"HGD; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
NVE13831,,
NVE8637,K15015,SLC32A; solute carrier family 32 (vesicular inhibitory amino acid transporter)
NVE17923,K04266,
NVE7213,K14944,NOVA; RNA-binding protein Nova
NVE36,,
NVE19793,,
NVE23165,K19328,SYT14_16; synaptotagmin-14/16
NVE19604,K21862,DSC1; voltage-gated cation channel
NVE21514,K10752,RBBP4; histone-binding protein RBBP4
NVE22465,K09627,PRSS23; serine protease 23 [EC:3.4.21.-]
NVE4572,,
NVE6575,,
NVE19445,K13207,CUGBP; CUG-BP- and ETR3-like factor
NVE23822,,
NVE9192,,
NVE10794,K09848,TRAF4; TNF receptor-associated factor 4
NVE11871,,
NVE24813,K00471,E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
NVE11851,,
NVE16945,K12304,CANT1; soluble calcium-activated nucleotidase 1 [EC:3.6.1.6]
NVE9136,,
NVE17852,K11857,USP47; ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]
NVE20353,,
NVE8079,K09560,ST13; suppressor of tumorigenicity protein 13
NVE12880,K01511,ENTPD5_6; ectonucleoside triphosphate diphosphohydrolase 5/6 [EC:3.6.1.6]
NVE5284,,
NVE13608,,
NVE19789,K14683,SLC34A; solute carrier family 34 (sodium-dependent phosphate cotransporter)
NVE13893,K13202,TOE1; target of EGR1 protein 1
NVE4236,K17264,ERP44; endoplasmic reticulum resident protein 44
NVE5418,K14381,SQSTM1; sequestosome 1
NVE14302,,
NVE13690,K19329,WWOX; WW domain-containing oxidoreductase
NVE852,,
NVE13468,K05206,GRID1; glutamate receptor delta-1 subunit
NVE18972,,
NVE11692,,
NVE15830,K22282,FAXDC2; fatty acid hydroxylase domain-containing protein 2
NVE16959,K04707,
NVE4357,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE16168,,
NVE4481,K04863,CACNB2; voltage-dependent calcium channel beta-2
NVE18728,,
NVE19766,K07375,TUBB; tubulin beta
NVE3627,,
NVE13341,K01135,ARSB; arylsulfatase B [EC:3.1.6.12]
NVE3771,,
NVE19430,,
NVE9832,K20183,VPS39; Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39
NVE11290,,
NVE20995,K18081,MTMR1_2; myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]
NVE7501,,
NVE16515,,
NVE13390,,
NVE2803,,
NVE618,,
NVE13601,K04256,OPN3; c-opsin
NVE25860,,
NVE25311,K07055,TRM12; tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]
NVE25647,K10442,KLHL1_4_5; kelch-like protein 1/4/5
NVE19204,,
NVE1390,,
NVE22303,,
NVE23189,K22390,ACP7; acid phosphatase type 7
NVE9883,K09428,ELF1_2_4; E74-like factor 1/2/4
NVE6869,,
NVE17087,,
NVE3676,,
NVE1959,K06768,DSCAML1; Down syndrome cell adhesion molecule-like protein 1
NVE17424,,
NVE13538,,
NVE19004,,
NVE20867,K06107,EPB41; erythrocyte membrane protein band 4.1
NVE17892,K19907,SYT7; synaptotagmin-7
NVE17234,K11662,ACTR6; actin-related protein 6
NVE4751,,
NVE10843,,
NVE2186,K20366,ERGIC2; endoplasmic reticulum-Golgi intermediate compartment protein 2
NVE6284,K06107,EPB41; erythrocyte membrane protein band 4.1
NVE7141,,
NVE5800,,
NVE18329,K03063,PSMC4; 26S proteasome regulatory subunit T3
NVE3449,,
NVE1715,K04984,TRPA1; transient receptor potential cation channel subfamily A member 1
NVE4025,K20872,NEK2; NIMA (never in mitosis gene a)-related kinase 2 [EC:2.7.11.1]
NVE447,,
NVE11923,K01940,argG; argininosuccinate synthase [EC:6.3.4.5]
NVE6873,,
NVE9023,K19760,DAW1; dynein assembly factor with WDR repeat domains 1
NVE13739,,
NVE24658,K16603,TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]
NVE1676,,
NVE16150,K00993,EPT1; ethanolaminephosphotransferase [EC:2.7.8.1]
NVE15669,K20477,RGP1; RAB6A-GEF complex partner protein 2
NVE1312,K01197,hya; hyaluronoglucosaminidase [EC:3.2.1.35]
NVE13458,K04491,TCF7L2; transcription factor 7-like 2
NVE10082,K14454,"GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
NVE22438,,
NVE19367,K04448,
NVE15306,,
NVE16306,K05768,GSN; gelsolin
NVE15692,,
NVE592,K16910,PTPRQ; receptor-type tyrosine-protein phosphatase Q [EC:3.1.3.48]
NVE15098,,
NVE16388,,
NVE6516,K04461,PPM1B; protein phosphatase 1B [EC:3.1.3.16]
NVE15224,,
NVE13126,,
NVE7227,K15442,TAD3; tRNA-specific adenosine deaminase 3
NVE15713,,
NVE8468,K21032,"B4GAT1; beta-1,4-glucuronyltransferase 1 [EC:2.4.1.-]"
NVE3057,,
NVE19106,,
NVE22279,,
NVE22118,,
NVE5205,K01597,MVD; diphosphomevalonate decarboxylase [EC:4.1.1.33]
NVE10731,K16770,CNTRL; centriolin
